RRR,Value
FR,4119.41694133802
DE4-W,4636.69099352388
DE4-E,4495.60035211629
UK,4440.29176791209
BE,4486.61626874631
DK2,4545.98978950348
DK1,4590.06282111147
NL,4393.01172349089
NO3,4089.3444884431
NO4,4156.04267385058
NO2,4532.63189911397
NO5,4564.52553920863
SE1,3700.82590417134
SE2,3954.95666633054
SE3,4193.8270990708
SE4,4348.67734314472
EE,4084.22268261432
FIN,4312.64776947237
LT,4039.8264510774
LV,4265.25865102011
PL,4143.79097453026
IT,3526.19370123808
ES,3526.19370123808
PT,3526.19370123808
HR,2398.62970549634
RO,2929.23652631198
BG,2922.68532047856
GR,3842.36286094026
IE,5099.91227925584
AL,2694.34084152389
ME,2310.14085717099
TR,3116.8040156603
MT,2733.48773312769
CY,1959.12287798246
