RRR,Value
DE4-N,3786.9587492656
DE4-E,3274.54733212915
DE4-S,2735.72468272898
DE4-W,3371.04139160757
DK1,3863.26798992179
DK2,3723.20637619441
EE,2911.68358656646
FIN,3132.38462904288
FR,3434.14606172962
UK,4582.48717707199
LT,3082.54984070154
LV,2912.55156773735
NL,3587.25731355668
NO1,3470.1049393324
NO2,4786.18773397182
NO3,5013.40502580121
NO4,5148.57376335529
NO5,4979.50771035011
PL,3047.78982274048
SE1,3943.46532740497
SE2,3880.20303199463
SE3,3093.3353732395
SE4,3175.8745678841
ES,2791.55932252644
PT,2700.24941412192
CH,2487.48843068163
CZ,3031.31514348154
AT,3111.31905561089
IT,2680.99035577411
SK,2988.776416
HU,2461.650332
SI,3182.374809
HR,3063.238886
RO,2374.927189
BG,2732.345715
GR,3212.527902
IE,4710.18104
LU,2235.247329
AL,3626.948976
ME,2582.357796
MK,2350.963237
BA,3073.036192
RS,2602.94051
TR,2938.893654
MT,2194.74919
CY,1902.409447
