RRR,Value
ES,1558.91103686336
PT,1541.35014513381
CH,1237.36740534538
CZ,1111.00928324976
AT,1190.17267144429
IT,1387.75602846442
SK,1247.095463
HU,1340.781477
SI,1260.690005
HR,1274.839372
RO,1369.398415
BG,1448.283257
GR,1412.048008
IE,935.0475098
LU,1100.61026
AL,1377.778913
ME,1333.041126
MK,1469.081551
BA,1365.018496
RS,1386.372894
TR,1637.979301
MT,1703.479055
CY,1496.935748
BE,1066.47860379655
DE4-N,1013.17233455176
DE4-E,1049.67174742813
DE4-S,1155.71511694836
DE4-W,1034.96427063143
DK1,1085.90502869064
DK2,1127.35469867694
EE,1027.81601983525
FIN,918.906775573014
UK,1022.45096888372
LT,1005.43223664905
LV,1010.64591059098
NL,1039.8576647481
NO1,1021.82149195315
NO2,1054.17510499113
NO3,923.553516355895
NO4,904.28439171604
NO5,992.844500433057
PL,1058.57077998135
SE1,898.384961170227
SE2,970.587274394484
SE3,1000.30752079588
SE4,1029.15312219259
FR,1288.9715278419
