RRR,Value
AT,2323.617843
CZ,2097.321986
BA,3246.797029
BE,2481.988243
LU,2309.920971
BG,1991.392757
CH,1995.505971
CY,1303.032343
PL,2557.393443
DE4-N,2441.064243
DE4-W,2406.234629
DE4-E,2378.429500
DE4-S,2440.071043
DK2,2251.392000
DK1,2150.087857
EE,2231.257657
ES,1965.559143
FIN,3029.086929
FR,2521.584000
GR,2486.151229
HR,2293.203743
HU,1962.682800
IE,2869.556129
IT,1909.011400
LT,2665.959829
LV,1718.107486
ME,2436.081157
MK,1728.922786
NL,2326.565429
NO3,3364.445314
NO4,3455.498057
NO1,2456.732657
NO2,3361.801500
PT,1803.958743
RO,2042.877200
RS,2418.119629
SE1,2511.851086
SE2,2771.422457
SE3,2579.751943
SE4,2339.630800
SI,1653.216729
SK,1529.368286
TR,2616.093286
UK,2477.254000
