RRR,Value
IE,1222.094376
PT,1937.163670
ES,1955.793795
UK,1298.332294
FR,1664.486978
BE,1256.618333
NL,1310.171872
NO2,1234.091774
NO5,1348.630557
NO3,1254.207843
DE4-W,1216.151724
CH,1664.111580
LU,1238.485616
DE4-S,1389.223604
IT,1863.677912
DK1,1286.161588
NO1,1242.699505
DE4-N,1189.808629
AT,1605.009636
DE4-E,1228.433686
DK2,1342.687579
SE3,1220.910768
NO4,1014.052113
SE4,1242.711515
SE2,1147.014940
CZ,1316.030620
SI,1515.956750
HR,1704.974475
PL,1235.372124
SE1,1076.946521
BA,1696.996064
HU,1481.940204
SK,1385.688233
ME,1699.418823
RS,1594.461497
AL,1769.193383
GR,1967.346416
MK,1685.956133
RO,1555.270287
LV,1227.253199
FIN,1154.576710
LT,1192.912919
EE,1251.601566
BG,1666.625294
TR,2002.299501
CY,2005.850981
MT,1953.177956
